timestamp (ms), x (G), y (G), z (G)
13388,3.71,2.15,2.15
13409,2.15,0.59,2.15
13430,4.89,0.98,2.15
13453,3.71,4.11,4.11
13474,4.89,3.71,4.50
13495,4.50,3.32,1.76
13516,3.32,2.93,2.54
13538,1.76,4.11,1.76
13559,2.54,4.11,4.89
13580,2.54,3.71,2.54
13601,2.93,0.98,3.32
13622,1.76,1.76,2.15
13643,4.50,3.71,4.50
13664,3.71,3.71,4.50
13685,1.76,3.32,3.71
13706,1.76,1.37,2.15
13727,2.54,2.15,2.93
13748,1.76,2.54,4.89
13769,2.15,1.76,4.89
13790,2.54,3.71,4.50
13811,2.93,0.98,1.76
13832,2.93,3.71,2.93
13853,4.11,2.54,4.11
13874,1.76,0.98,2.15
13895,4.50,2.54,1.76
13916,4.50,2.54,2.15
13937,3.71,1.37,2.15
13961,3.71,3.71,4.11
13982,2.54,4.50,4.11
14003,2.15,2.54,4.11
14024,2.54,1.37,1.76
14045,4.89,0.59,4.50
14066,3.32,1.37,2.54
14087,3.71,1.37,2.54
14108,4.11,2.93,2.93
14129,4.11,2.15,4.50
14150,4.89,4.11,4.11
14171,4.50,3.71,2.93
14192,4.50,4.11,4.89
14213,5.28,3.32,3.71
14234,2.15,0.98,3.32
14255,4.89,0.59,2.15
14276,2.15,3.71,4.50
14297,2.15,0.98,2.15
14318,2.15,0.98,4.11
14339,2.15,3.32,2.15
14360,2.15,2.15,2.54
14381,3.32,0.98,4.89
14402,4.89,3.32,4.11
14423,4.50,2.93,2.93
14447,2.93,0.98,2.54
14468,2.54,1.37,4.89
14489,4.50,3.71,4.50
14510,2.15,1.76,2.15
14531,4.11,3.32,2.93
14552,4.89,0.98,4.11
14573,2.54,3.71,3.71
14594,1.76,0.59,3.71
14615,3.71,0.98,2.93
14636,2.54,1.76,1.37
14657,4.11,1.76,4.89
14678,1.37,3.71,2.93
14699,4.89,2.93,4.50
14720,2.15,0.98,2.54
14741,2.93,1.37,4.11
14762,4.11,3.71,1.37
14783,5.28,1.37,1.76
14804,3.71,3.32,2.93
14825,4.89,1.76,1.76
14846,3.71,3.71,1.76
14867,3.71,2.93,1.76
14888,4.50,2.15,4.50
14909,3.71,4.11,3.32
14933,1.76,1.37,4.50
14954,4.89,0.98,2.93
14975,4.11,4.11,4.50
